p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.009,0.00127427498570313,3,3,50000,4859,0.09718,0.03239333333,heterogeneous
0.0,0.00162377673918872,3,3,50000,2354,0.04708,0.01569333333,heterogeneous
0.011,0.001,3,3,50000,9451,0.18902,0.06300666667,heterogeneous
0.0,0.00127427498570313,3,3,50000,1824,0.03648,0.01216,heterogeneous
0.006,0.00162377673918872,3,3,50000,5537,0.11074,0.03691333333,heterogeneous
0.011,0.00127427498570313,3,3,50000,10492,0.20984,0.06994666667,heterogeneous
0.006,0.00127427498570313,3,3,50000,5359,0.10718,0.03572666667,heterogeneous
0.0,0.001,3,3,50000,1370,0.0274,0.009133333333,heterogeneous
0.006,0.001,3,3,50000,7311,0.14622,0.04874,heterogeneous
0.009,0.001,3,3,50000,11773,0.23546,0.07848666667,heterogeneous
0.015,0.001,3,3,50000,20123,0.40246,0.1341533333,heterogeneous
0.015,0.00127427498570313,3,3,50000,16071,0.32142,0.10714,heterogeneous
0.009,0.00162377673918872,3,3,50000,4051,0.08102,0.02700666667,heterogeneous
0.015,0.00162377673918872,3,3,50000,17233,0.34466,0.1148866667,heterogeneous
0.011,0.00162377673918872,3,3,50000,16181,0.32362,0.1078733333,heterogeneous
0.0,0.00206913808111479,3,3,50000,2957,0.05914,0.01971333333,heterogeneous
0.009,0.00206913808111479,3,3,50000,8598,0.17196,0.05732,heterogeneous
0.006,0.00206913808111479,3,3,50000,6806,0.13612,0.04537333333,heterogeneous
0.011,0.00206913808111479,3,3,50000,16073,0.32146,0.1071533333,heterogeneous
0.0,0.00263665089873036,3,3,50000,3847,0.07694,0.02564666667,heterogeneous
0.015,0.00206913808111479,3,3,50000,19286,0.38572,0.1285733333,heterogeneous
0.006,0.00263665089873036,3,3,50000,6718,0.13436,0.04478666667,heterogeneous
0.009,0.00263665089873036,3,3,50000,9304,0.18608,0.06202666667,heterogeneous
0.011,0.00263665089873036,3,3,50000,6725,0.1345,0.04483333333,heterogeneous
0.015,0.00263665089873036,3,3,50000,20773,0.41546,0.1384866667,heterogeneous
0.0,0.00335981828628378,3,3,50000,4808,0.09616,0.03205333333,heterogeneous
0.015,0.00335981828628378,3,3,50000,14660,0.2932,0.09773333333,heterogeneous
0.006,0.00335981828628378,3,3,50000,8644,0.17288,0.05762666667,heterogeneous
0.011,0.00335981828628378,3,3,50000,11444,0.22888,0.07629333333,heterogeneous
0.009,0.00335981828628378,3,3,50000,12754,0.25508,0.08502666667,heterogeneous
0.0,0.0042813323987194,3,3,50000,6168,0.12336,0.04112,heterogeneous
0.006,0.0042813323987194,3,3,50000,6432,0.12864,0.04288,heterogeneous
0.009,0.0042813323987194,3,3,50000,8958,0.17916,0.05972,heterogeneous
0.011,0.0042813323987194,3,3,50000,15015,0.3003,0.1001,heterogeneous
0.015,0.0042813323987194,3,3,50000,19869,0.39738,0.13246,heterogeneous
0.0,0.00545559478116852,3,3,50000,7736,0.15472,0.05157333333,heterogeneous
0.006,0.00545559478116852,3,3,50000,8817,0.17634,0.05878,heterogeneous
0.009,0.00545559478116852,3,3,50000,11484,0.22968,0.07656,heterogeneous
0.011,0.00545559478116852,3,3,50000,15350,0.307,0.1023333333,heterogeneous
0.015,0.00545559478116852,3,3,50000,17710,0.3542,0.1180666667,heterogeneous
0.0,0.0069519279617756,3,3,50000,9585,0.1917,0.0639,heterogeneous
0.006,0.0069519279617756,3,3,50000,10459,0.20918,0.06972666667,heterogeneous
0.009,0.0069519279617756,3,3,50000,16354,0.32708,0.1090266667,heterogeneous
0.011,0.0069519279617756,3,3,50000,15098,0.30196,0.1006533333,heterogeneous
0.015,0.0069519279617756,3,3,50000,18727,0.37454,0.1248466667,heterogeneous
0.0,0.00885866790410082,3,3,50000,12019,0.24038,0.08012666667,heterogeneous
0.006,0.00885866790410082,3,3,50000,14903,0.29806,0.09935333333,heterogeneous
0.009,0.00885866790410082,3,3,50000,9976,0.19952,0.06650666667,heterogeneous
0.011,0.00885866790410082,3,3,50000,10880,0.2176,0.07253333333,heterogeneous
0.015,0.00885866790410082,3,3,50000,10491,0.20982,0.06994,heterogeneous
0.0,0.0112883789168469,3,3,50000,14535,0.2907,0.0969,heterogeneous
0.006,0.0112883789168469,3,3,50000,14723,0.29446,0.09815333333,heterogeneous
0.009,0.0112883789168469,3,3,50000,14916,0.29832,0.09944,heterogeneous
0.011,0.0112883789168469,3,3,50000,16723,0.33446,0.1114866667,heterogeneous
0.015,0.0112883789168469,3,3,50000,21408,0.42816,0.14272,heterogeneous
0.0,0.0143844988828766,3,3,50000,17219,0.34438,0.1147933333,heterogeneous
0.006,0.0143844988828766,3,3,50000,19334,0.38668,0.1288933333,heterogeneous
0.009,0.0143844988828766,3,3,50000,16424,0.32848,0.1094933333,heterogeneous
0.011,0.0143844988828766,3,3,50000,20386,0.40772,0.1359066667,heterogeneous
0.015,0.0143844988828766,3,3,50000,19815,0.3963,0.1321,heterogeneous
0.0,0.0183298071083244,3,3,50000,20061,0.40122,0.13374,heterogeneous
0.006,0.0183298071083244,3,3,50000,15672,0.31344,0.10448,heterogeneous
0.009,0.0183298071083244,3,3,50000,20215,0.4043,0.1347666667,heterogeneous
0.011,0.0183298071083244,3,3,50000,21861,0.43722,0.14574,heterogeneous
0.015,0.0183298071083244,3,3,50000,14149,0.28298,0.09432666667,heterogeneous
0.0,0.0233572146909012,3,3,50000,21902,0.43804,0.1460133333,heterogeneous
0.006,0.0233572146909012,3,3,50000,21760,0.4352,0.1450666667,heterogeneous
0.009,0.0233572146909012,3,3,50000,22951,0.45902,0.1530066667,heterogeneous
0.011,0.0233572146909012,3,3,50000,20773,0.41546,0.1384866667,heterogeneous
0.015,0.0233572146909012,3,3,50000,20936,0.41872,0.1395733333,heterogeneous
0.0,0.0297635144163132,3,3,50000,23391,0.46782,0.15594,heterogeneous
0.006,0.0297635144163132,3,3,50000,23433,0.46866,0.15622,heterogeneous
0.009,0.0297635144163132,3,3,50000,23510,0.4702,0.1567333333,heterogeneous
0.011,0.0297635144163132,3,3,50000,24048,0.48096,0.16032,heterogeneous
0.015,0.0297635144163132,3,3,50000,21840,0.4368,0.1456,heterogeneous
0.0,0.0379269019073225,3,3,50000,24645,0.4929,0.1643,heterogeneous
0.006,0.0379269019073225,3,3,50000,24642,0.49284,0.16428,heterogeneous
0.009,0.0379269019073225,3,3,50000,24581,0.49162,0.1638733333,heterogeneous
0.011,0.0379269019073225,3,3,50000,24591,0.49182,0.16394,heterogeneous
0.0,0.0483293023857175,3,3,50000,24798,0.49596,0.16532,heterogeneous
0.006,0.0483293023857175,3,3,50000,24477,0.48954,0.16318,heterogeneous
0.015,0.0379269019073225,3,3,50000,22805,0.4561,0.1520333333,heterogeneous
0.009,0.0483293023857175,3,3,50000,24644,0.49288,0.1642933333,heterogeneous
0.011,0.0483293023857175,3,3,50000,24707,0.49414,0.1647133333,heterogeneous
0.015,0.0483293023857175,3,3,50000,24467,0.48934,0.1631133333,heterogeneous
0.0,0.0615848211066026,3,3,50000,25030,0.5006,0.1668666667,heterogeneous
0.006,0.0615848211066026,3,3,50000,25064,0.50128,0.1670933333,heterogeneous
0.011,0.0615848211066026,3,3,50000,24975,0.4995,0.1665,heterogeneous
