p,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.00162377673918872,3,3,50000,2324,0.04648,0.01549333333,homogeneous-uniform
0.001,3,3,50000,1416,0.02832,0.00944,homogeneous-uniform
0.00127427498570313,3,3,50000,1850,0.037,0.01233333333,homogeneous-uniform
0.001,5,3,50000,63,0.00126,0.00042,homogeneous-uniform
0.00162377673918872,5,3,50000,218,0.00436,0.001453333333,homogeneous-uniform
0.00162377673918872,7,3,50000,62,0.00124,0.0004133333333,homogeneous-uniform
0.00127427498570313,7,3,50000,26,0.00052,0.0001733333333,homogeneous-uniform
0.00127427498570313,5,3,50000,120,0.0024,0.0008,homogeneous-uniform
0.001,9,3,50000,2,4e-05,1.333333333e-05,homogeneous-uniform
0.001,7,3,50000,7,0.00014,4.666666667e-05,homogeneous-uniform
0.00127427498570313,9,3,50000,5,0.0001,3.333333333e-05,homogeneous-uniform
0.00162377673918872,9,3,50000,13,0.00026,8.666666667e-05,homogeneous-uniform
0.00206913808111479,3,3,50000,2971,0.05942,0.01980666667,homogeneous-uniform
0.00206913808111479,5,3,50000,351,0.00702,0.00234,homogeneous-uniform
0.00206913808111479,7,3,50000,115,0.0023,0.0007666666667,homogeneous-uniform
0.00263665089873036,3,3,50000,3860,0.0772,0.02573333333,homogeneous-uniform
0.00263665089873036,5,3,50000,630,0.0126,0.0042,homogeneous-uniform
0.00206913808111479,9,3,50000,35,0.0007,0.0002333333333,homogeneous-uniform
0.00263665089873036,7,3,50000,224,0.00448,0.001493333333,homogeneous-uniform
0.00335981828628378,3,3,50000,4932,0.09864,0.03288,homogeneous-uniform
0.00263665089873036,9,3,50000,88,0.00176,0.0005866666667,homogeneous-uniform
0.00335981828628378,5,3,50000,1007,0.02014,0.006713333333,homogeneous-uniform
0.0042813323987194,3,3,50000,6164,0.12328,0.04109333333,homogeneous-uniform
0.00335981828628378,7,3,50000,539,0.01078,0.003593333333,homogeneous-uniform
0.00335981828628378,9,3,50000,261,0.00522,0.00174,homogeneous-uniform
0.0042813323987194,5,3,50000,1768,0.03536,0.01178666667,homogeneous-uniform
0.0042813323987194,7,3,50000,987,0.01974,0.00658,homogeneous-uniform
0.0042813323987194,9,3,50000,562,0.01124,0.003746666667,homogeneous-uniform
0.00545559478116852,3,3,50000,7797,0.15594,0.05198,homogeneous-uniform
0.00545559478116852,5,3,50000,2997,0.05994,0.01998,homogeneous-uniform
0.00545559478116852,7,3,50000,2036,0.04072,0.01357333333,homogeneous-uniform
0.0069519279617756,3,3,50000,9653,0.19306,0.06435333333,homogeneous-uniform
0.00545559478116852,9,3,50000,1411,0.02822,0.009406666667,homogeneous-uniform
0.0069519279617756,5,3,50000,4958,0.09916,0.03305333333,homogeneous-uniform
0.0069519279617756,7,3,50000,4005,0.0801,0.0267,homogeneous-uniform
0.0069519279617756,9,3,50000,3138,0.06276,0.02092,homogeneous-uniform
0.00885866790410082,3,3,50000,12121,0.24242,0.08080666667,homogeneous-uniform
0.00885866790410082,5,3,50000,7852,0.15704,0.05234666667,homogeneous-uniform
0.00885866790410082,7,3,50000,7115,0.1423,0.04743333333,homogeneous-uniform
0.00885866790410082,9,3,50000,6521,0.13042,0.04347333333,homogeneous-uniform
0.0112883789168469,3,3,50000,14466,0.28932,0.09644,homogeneous-uniform
0.0112883789168469,5,3,50000,11485,0.2297,0.07656666667,homogeneous-uniform
0.0112883789168469,7,3,50000,11592,0.23184,0.07728,homogeneous-uniform
0.0112883789168469,9,3,50000,11810,0.2362,0.07873333333,homogeneous-uniform
0.0143844988828766,3,3,50000,17208,0.34416,0.11472,homogeneous-uniform
0.0143844988828766,5,3,50000,15807,0.31614,0.10538,homogeneous-uniform
0.0143844988828766,7,3,50000,16815,0.3363,0.1121,homogeneous-uniform
0.0143844988828766,9,3,50000,17752,0.35504,0.1183466667,homogeneous-uniform
0.0183298071083244,3,3,50000,19905,0.3981,0.1327,homogeneous-uniform
0.0183298071083244,5,3,50000,19594,0.39188,0.1306266667,homogeneous-uniform
0.0183298071083244,7,3,50000,21244,0.42488,0.1416266667,homogeneous-uniform
0.0183298071083244,9,3,50000,22109,0.44218,0.1473933333,homogeneous-uniform
0.0233572146909012,3,3,50000,21825,0.4365,0.1455,homogeneous-uniform
0.0233572146909012,5,3,50000,22697,0.45394,0.1513133333,homogeneous-uniform
0.0233572146909012,7,3,50000,23678,0.47356,0.1578533333,homogeneous-uniform
0.0297635144163132,3,3,50000,23370,0.4674,0.1558,homogeneous-uniform
0.0233572146909012,9,3,50000,24531,0.49062,0.16354,homogeneous-uniform
0.0297635144163132,5,3,50000,24243,0.48486,0.16162,homogeneous-uniform
0.0297635144163132,7,3,50000,24750,0.495,0.165,homogeneous-uniform
0.0297635144163132,9,3,50000,24911,0.49822,0.1660733333,homogeneous-uniform
0.0379269019073225,3,3,50000,24668,0.49336,0.1644533333,homogeneous-uniform
0.0379269019073225,5,3,50000,24690,0.4938,0.1646,homogeneous-uniform
0.0379269019073225,7,3,50000,24735,0.4947,0.1649,homogeneous-uniform
0.0379269019073225,9,3,50000,25005,0.5001,0.1667,homogeneous-uniform
0.0483293023857175,3,3,50000,24644,0.49288,0.1642933333,homogeneous-uniform
0.0483293023857175,5,3,50000,24845,0.4969,0.1656333333,homogeneous-uniform
0.0483293023857175,7,3,50000,25139,0.50278,0.1675933333,homogeneous-uniform
0.0483293023857175,9,3,50000,24895,0.4979,0.1659666667,homogeneous-uniform
0.0615848211066026,3,3,50000,25063,0.50126,0.1670866667,homogeneous-uniform
0.0615848211066026,5,3,50000,25031,0.50062,0.1668733333,homogeneous-uniform
0.0615848211066026,7,3,50000,24832,0.49664,0.1655466667,homogeneous-uniform
0.0615848211066026,9,3,50000,24997,0.49994,0.1666466667,homogeneous-uniform
0.0784759970351461,3,3,50000,25044,0.50088,0.16696,homogeneous-uniform
0.0784759970351461,5,3,50000,25099,0.50198,0.1673266667,homogeneous-uniform
0.0784759970351461,7,3,50000,25037,0.50074,0.1669133333,homogeneous-uniform
0.0784759970351461,9,3,50000,25087,0.50174,0.1672466667,homogeneous-uniform
0.1,3,3,50000,25030,0.5006,0.1668666667,homogeneous-uniform
0.1,5,3,50000,24796,0.49592,0.1653066667,homogeneous-uniform
0.1,7,3,50000,24999,0.49998,0.16666,homogeneous-uniform
0.1,9,3,50000,25085,0.5017,0.1672333333,homogeneous-uniform
