Case 1: Case 1
distance,BAD
5,0.002898
7,0.003793
9,0.004521
11,0.005094
13,0.00552
15,0.005761
17,0.006033

Case 2: Case 2
distance,line,BAD
5,0.0,0.002831
5,0.05,0.002353
5,0.25,0.001902
5,0.5,0.001764
5,0.75,0.001677
7,0.0,0.003786
7,0.05,0.003479
7,0.25,0.003091
7,0.5,0.003025
7,0.75,0.002962
9,0.0,0.004523
9,0.05,0.004298
9,0.25,0.003999
9,0.5,0.003953
9,0.75,0.003966
11,0.0,0.004998
11,0.05,0.004865
11,0.25,0.004725
11,0.5,0.004644
11,0.75,0.004602
13,0.0,0.005586
13,0.05,0.005474
13,0.25,0.005339
13,0.5,0.005261
13,0.75,0.005299
15,0.0,0.005841
15,0.05,0.005754
15,0.25,0.005644
15,0.5,0.005619
15,0.75,0.005598
17,0.0,0.006021
17,0.05,0.005969
17,0.25,0.005873
17,0.5,0.00586
17,0.75,0.005819

Case 3: Case 3
distance,line,BAD
5,0.0,0.002781
5,0.01,0.002808
5,0.3,0.002835
5,0.6,0.002882
5,0.9,0.002833
7,0.0,0.003821
7,0.01,0.003769
7,0.3,0.003983
7,0.6,0.004064
7,0.9,0.003943
9,0.0,0.004516
9,0.01,0.004508
9,0.3,0.004659
9,0.6,0.004652
9,0.9,0.004841
11,0.0,0.005113
11,0.01,0.00509
11,0.3,0.005226
11,0.6,0.00537
11,0.9,0.005261
13,0.0,0.005541
13,0.01,0.005538
13,0.3,0.005531
13,0.6,0.005844
13,0.9,0.005693
15,0.0,0.005785
15,0.01,0.005771
15,0.3,0.005878
15,0.6,0.006062
15,0.9,0.006333
17,0.0,0.006062
17,0.01,0.006066
17,0.3,0.006144
17,0.6,0.006394
17,0.9,0.006391

Case 4: Case 4
distance,line,BAD
5,0.0,0.002776
5,0.05,0.002525
5,0.25,0.001886
5,0.5,0.001975
5,0.75,0.001685
7,0.0,0.004016
7,0.05,0.00353
7,0.25,0.00316
7,0.5,0.003044
7,0.75,0.003248
9,0.0,0.004582
9,0.05,0.004275
9,0.25,0.004414
9,0.5,0.004063
9,0.75,0.004086
11,0.0,0.005417
11,0.05,0.004975
11,0.25,0.004868
11,0.5,0.004879
11,0.75,0.004793
13,0.0,0.005789
13,0.05,0.005597
13,0.25,0.005456
13,0.5,0.005221
13,0.75,0.005334
15,0.0,0.006077
15,0.05,0.006073
15,0.25,0.00576
15,0.5,0.005812
15,0.75,0.00584
17,0.0,0.006244
17,0.05,0.006144
17,0.25,0.006133
17,0.5,0.006151
17,0.75,0.006103

Baseline Comparisons: Cross-Case Baseline BADs
distance,Case 1,Case 2,Case 3,Case 4
5,0.002898,0.002831,0.002781,0.002776
7,0.003793,0.003786,0.003821,0.004016
9,0.004521,0.004523,0.004516,0.004582
11,0.005094,0.004998,0.005113,0.005417
13,0.00552,0.005586,0.005541,0.005789
15,0.005761,0.005841,0.005785,0.006077
17,0.006033,0.006021,0.006062,0.006244

Case 1 vs. 2: Case 1 vs. Case 2 (Impact of Defect on BAD w/ Homogeneous Noise)
distance,line,BAD (Case 2),Base (Case 1),Percent Difference
5,0.0,0.002831,0.002898,2.34%
5,0.05,0.002353,0.002898,20.76%
5,0.25,0.001902,0.002898,41.50%
5,0.5,0.001764,0.002898,48.65%
5,0.75,0.001677,0.002898,53.38%
7,0.0,0.003786,0.003793,0.18%
7,0.05,0.003479,0.003793,8.64%
7,0.25,0.003091,0.003793,20.40%
7,0.5,0.003025,0.003793,22.53%
7,0.75,0.002962,0.003793,24.60%
9,0.0,0.004523,0.004521,0.04%
9,0.05,0.004298,0.004521,5.06%
9,0.25,0.003999,0.004521,12.25%
9,0.5,0.003953,0.004521,13.41%
9,0.75,0.003966,0.004521,13.08%
11,0.0,0.004998,0.005094,1.90%
11,0.05,0.004865,0.005094,4.60%
11,0.25,0.004725,0.005094,7.52%
11,0.5,0.004644,0.005094,9.24%
11,0.75,0.004602,0.005094,10.15%
13,0.0,0.005586,0.00552,1.19%
13,0.05,0.005474,0.00552,0.84%
13,0.25,0.005339,0.00552,3.33%
