p,distance,rounds,shots,errors,ler_shot,ler_round,noise_model,mu_out,sigma_out
0.001,3,3,50000,1347,0.02694,0.00898,homogeneous-uniform,,
0.00127427498570313,5,3,50000,123,0.00246,0.00082,homogeneous-uniform,,
0.001,7,3,50000,3,6e-05,2e-05,homogeneous-uniform,,
0.001,5,3,50000,61,0.00122,0.0004066666667,homogeneous-uniform,,
0.00127427498570313,3,3,50000,1784,0.03568,0.01189333333,homogeneous-uniform,,
0.00127427498570313,9,3,50000,6,0.00012,4e-05,homogeneous-uniform,,
0.00127427498570313,7,3,50000,28,0.00056,0.0001866666667,homogeneous-uniform,,
0.001,11,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.001,9,3,50000,2,4e-05,1.333333333e-05,homogeneous-uniform,,
0.001,13,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.001,15,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.001,17,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00127427498570313,11,3,50000,1,2e-05,6.666666667e-06,homogeneous-uniform,,
0.00127427498570313,13,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00162377673918872,3,3,50000,2306,0.04612,0.01537333333,homogeneous-uniform,,
0.00127427498570313,15,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00162377673918872,5,3,50000,171,0.00342,0.00114,homogeneous-uniform,,
0.00127427498570313,17,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00162377673918872,7,3,50000,53,0.00106,0.0003533333333,homogeneous-uniform,,
0.00162377673918872,9,3,50000,13,0.00026,8.666666667e-05,homogeneous-uniform,,
0.00162377673918872,11,3,50000,3,6e-05,2e-05,homogeneous-uniform,,
0.00162377673918872,13,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00162377673918872,15,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00206913808111479,3,3,50000,2981,0.05962,0.01987333333,homogeneous-uniform,,
0.00206913808111479,5,3,50000,340,0.0068,0.002266666667,homogeneous-uniform,,
0.00206913808111479,7,3,50000,116,0.00232,0.0007733333333,homogeneous-uniform,,
0.00162377673918872,17,3,50000,0,0.0,0.0,homogeneous-uniform,,
0.00206913808111479,9,3,50000,25,0.0005,0.0001666666667,homogeneous-uniform,,
0.00206913808111479,11,3,50000,12,0.00024,8e-05,homogeneous-uniform,,
0.00206913808111479,13,3,50000,3,6e-05,2e-05,homogeneous-uniform,,
0.00206913808111479,15,3,50000,0,0.0,0.0,homogeneous-uniform,,
