p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.001,0.75,"(6, 6)",center data,11,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.75,"(6, 6)",center data,11,3,50000,2,4e-05,1.333333333e-05,homogeneous
0.00127427498570313,0.05,"(6, 6)",center data,11,3,50000,2,4e-05,1.333333333e-05,homogeneous
0.001,0.0,"(6, 6)",center data,11,3,50000,0,0.0,0.0,homogeneous
0.00127427498570313,0.25,"(6, 6)",center data,11,3,50000,4,8e-05,2.666666667e-05,homogeneous
0.00127427498570313,0.0,"(6, 6)",center data,11,3,50000,1,2e-05,6.666666667e-06,homogeneous
0.001,0.05,"(6, 6)",center data,11,3,50000,0,0.0,0.0,homogeneous
0.001,0.5,"(6, 6)",center data,11,3,50000,0,0.0,0.0,homogeneous
0.00162377673918872,0.0,"(6, 6)",center data,11,3,50000,2,4e-05,1.333333333e-05,homogeneous
0.001,0.25,"(6, 6)",center data,11,3,50000,1,2e-05,6.666666667e-06,homogeneous
0.00127427498570313,0.5,"(6, 6)",center data,11,3,50000,1,2e-05,6.666666667e-06,homogeneous
0.00162377673918872,0.05,"(6, 6)",center data,11,3,50000,4,8e-05,2.666666667e-05,homogeneous
0.00162377673918872,0.25,"(6, 6)",center data,11,3,50000,6,0.00012,4e-05,homogeneous
0.00162377673918872,0.75,"(6, 6)",center data,11,3,50000,6,0.00012,4e-05,homogeneous
0.00162377673918872,0.5,"(6, 6)",center data,11,3,50000,4,8e-05,2.666666667e-05,homogeneous
0.00206913808111479,0.0,"(6, 6)",center data,11,3,50000,6,0.00012,4e-05,homogeneous
0.00206913808111479,0.05,"(6, 6)",center data,11,3,50000,11,0.00022,7.333333333e-05,homogeneous
0.00206913808111479,0.25,"(6, 6)",center data,11,3,50000,18,0.00036,0.00012,homogeneous
0.00206913808111479,0.5,"(6, 6)",center data,11,3,50000,17,0.00034,0.0001133333333,homogeneous
0.00206913808111479,0.75,"(6, 6)",center data,11,3,50000,19,0.00038,0.0001266666667,homogeneous
0.00263665089873036,0.0,"(6, 6)",center data,11,3,50000,35,0.0007,0.0002333333333,homogeneous
0.00263665089873036,0.05,"(6, 6)",center data,11,3,50000,38,0.00076,0.0002533333333,homogeneous
0.00263665089873036,0.25,"(6, 6)",center data,11,3,50000,52,0.00104,0.0003466666667,homogeneous
0.00263665089873036,0.5,"(6, 6)",center data,11,3,50000,57,0.00114,0.00038,homogeneous
0.00335981828628378,0.0,"(6, 6)",center data,11,3,50000,96,0.00192,0.00064,homogeneous
0.00263665089873036,0.75,"(6, 6)",center data,11,3,50000,52,0.00104,0.0003466666667,homogeneous
0.00335981828628378,0.05,"(6, 6)",center data,11,3,50000,123,0.00246,0.00082,homogeneous
0.00335981828628378,0.25,"(6, 6)",center data,11,3,50000,168,0.00336,0.00112,homogeneous
0.00335981828628378,0.5,"(6, 6)",center data,11,3,50000,145,0.0029,0.0009666666667,homogeneous
0.00335981828628378,0.75,"(6, 6)",center data,11,3,50000,180,0.0036,0.0012,homogeneous
0.0042813323987194,0.0,"(6, 6)",center data,11,3,50000,297,0.00594,0.00198,homogeneous
0.0042813323987194,0.05,"(6, 6)",center data,11,3,50000,369,0.00738,0.00246,homogeneous
0.0042813323987194,0.25,"(6, 6)",center data,11,3,50000,457,0.00914,0.003046666667,homogeneous
0.0042813323987194,0.5,"(6, 6)",center data,11,3,50000,495,0.0099,0.0033,homogeneous
0.0042813323987194,0.75,"(6, 6)",center data,11,3,50000,541,0.01082,0.003606666667,homogeneous
0.00545559478116852,0.0,"(6, 6)",center data,11,3,50000,957,0.01914,0.00638,homogeneous
0.00545559478116852,0.05,"(6, 6)",center data,11,3,50000,1097,0.02194,0.007313333333,homogeneous
0.00545559478116852,0.25,"(6, 6)",center data,11,3,50000,1256,0.02512,0.008373333333,homogeneous
0.00545559478116852,0.5,"(6, 6)",center data,11,3,50000,1347,0.02694,0.00898,homogeneous
0.00545559478116852,0.75,"(6, 6)",center data,11,3,50000,1300,0.026,0.008666666667,homogeneous
0.0069519279617756,0.0,"(6, 6)",center data,11,3,50000,2595,0.0519,0.0173,homogeneous
