p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.00162377673918872,0.0,"(2, 2)",center data,3,3,50000,2340,0.0468,0.0156,homogeneous-defect
0.001,0.0,"(2, 2)",center data,3,3,50000,1365,0.0273,0.0091,homogeneous-defect
0.00127427498570313,0.75,"(2, 2)",center data,3,3,50000,2185,0.0437,0.01456666667,homogeneous-defect
0.00127427498570313,0.0,"(2, 2)",center data,3,3,50000,1897,0.03794,0.01264666667,homogeneous-defect
0.00162377673918872,0.05,"(2, 2)",center data,3,3,50000,2379,0.04758,0.01586,homogeneous-defect
0.001,0.05,"(2, 2)",center data,3,3,50000,1362,0.02724,0.00908,homogeneous-defect
0.00127427498570313,0.5,"(2, 2)",center data,3,3,50000,2178,0.04356,0.01452,homogeneous-defect
0.001,0.5,"(2, 2)",center data,3,3,50000,1577,0.03154,0.01051333333,homogeneous-defect
0.00127427498570313,0.05,"(2, 2)",center data,3,3,50000,1966,0.03932,0.01310666667,homogeneous-defect
0.001,0.75,"(2, 2)",center data,3,3,50000,1585,0.0317,0.01056666667,homogeneous-defect
0.001,0.25,"(2, 2)",center data,3,3,50000,1555,0.0311,0.01036666667,homogeneous-defect
0.00127427498570313,0.25,"(2, 2)",center data,3,3,50000,2093,0.04186,0.01395333333,homogeneous-defect
0.00162377673918872,0.25,"(2, 2)",center data,3,3,50000,2673,0.05346,0.01782,homogeneous-defect
0.00162377673918872,0.5,"(2, 2)",center data,3,3,50000,2678,0.05356,0.01785333333,homogeneous-defect
0.00162377673918872,0.75,"(2, 2)",center data,3,3,50000,2790,0.0558,0.0186,homogeneous-defect
0.00206913808111479,0.0,"(2, 2)",center data,3,3,50000,2970,0.0594,0.0198,homogeneous-defect
0.00206913808111479,0.05,"(2, 2)",center data,3,3,50000,3084,0.06168,0.02056,homogeneous-defect
0.00206913808111479,0.25,"(2, 2)",center data,3,3,50000,3461,0.06922,0.02307333333,homogeneous-defect
0.00206913808111479,0.5,"(2, 2)",center data,3,3,50000,3440,0.0688,0.02293333333,homogeneous-defect
0.00206913808111479,0.75,"(2, 2)",center data,3,3,50000,3489,0.06978,0.02326,homogeneous-defect
0.00263665089873036,0.0,"(2, 2)",center data,3,3,50000,3784,0.07568,0.02522666667,homogeneous-defect
0.00263665089873036,0.05,"(2, 2)",center data,3,3,50000,4077,0.08154,0.02718,homogeneous-defect
0.00263665089873036,0.25,"(2, 2)",center data,3,3,50000,4384,0.08768,0.02922666667,homogeneous-defect
0.00263665089873036,0.5,"(2, 2)",center data,3,3,50000,4376,0.08752,0.02917333333,homogeneous-defect
0.00335981828628378,0.0,"(2, 2)",center data,3,3,50000,4873,0.09746,0.03248666667,homogeneous-defect
0.00263665089873036,0.75,"(2, 2)",center data,3,3,50000,4396,0.08792,0.02930666667,homogeneous-defect
0.00335981828628378,0.05,"(2, 2)",center data,3,3,50000,5109,0.10218,0.03406,homogeneous-defect
0.00335981828628378,0.25,"(2, 2)",center data,3,3,50000,5548,0.11096,0.03698666667,homogeneous-defect
0.00335981828628378,0.5,"(2, 2)",center data,3,3,50000,5556,0.11112,0.03704,homogeneous-defect
