distance,line,xy coord
5,0.0,0.002952
5,0.05,0.002531
5,0.25,0.002074
5,0.5,0.001868
5,0.75,0.001842
7,0.0,0.00396
7,0.05,0.003636
7,0.25,0.003358
7,0.5,0.003188
7,0.75,0.003164
9,0.0,0.004677
9,0.05,0.004488
9,0.25,0.004248
9,0.5,0.004096
9,0.75,0.004095
11,0.0,0.005274
11,0.05,0.005065
11,0.25,0.004866
11,0.5,0.004777
11,0.75,0.004767
13,0.0,0.005604
13,0.05,0.005574
13,0.25,0.005485
13,0.5,0.005434
13,0.75,0.005351
15,0.0,0.005918
15,0.05,0.005834
15,0.25,0.00573
15,0.5,0.005744
15,0.75,0.005681
17,0.0,0.006177
17,0.05,0.006161
17,0.25,0.005978
17,0.5,0.005994
17,0.75,0.005981
