p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.0,0.00162377673918872,11,3,50000,2,4e-05,1.333333333e-05,heterogeneous
0.0,0.001,11,3,50000,0,0.0,0.0,heterogeneous
0.011,0.001,11,3,50000,5755,0.1151,0.03836666667,heterogeneous
0.006,0.001,11,3,50000,753,0.01506,0.00502,heterogeneous
0.006,0.00127427498570313,11,3,50000,717,0.01434,0.00478,heterogeneous
0.0,0.00127427498570313,11,3,50000,0,0.0,0.0,heterogeneous
0.015,0.001,11,3,50000,12744,0.25488,0.08496,heterogeneous
0.011,0.00127427498570313,11,3,50000,6230,0.1246,0.04153333333,heterogeneous
0.006,0.00162377673918872,11,3,50000,446,0.00892,0.002973333333,heterogeneous
0.009,0.00127427498570313,11,3,50000,2898,0.05796,0.01932,heterogeneous
0.009,0.001,11,3,50000,3163,0.06326,0.02108666667,heterogeneous
0.015,0.00127427498570313,11,3,50000,10246,0.20492,0.06830666667,heterogeneous
0.009,0.00162377673918872,11,3,50000,2495,0.0499,0.01663333333,heterogeneous
0.011,0.00162377673918872,11,3,50000,4138,0.08276,0.02758666667,heterogeneous
0.015,0.00162377673918872,11,3,50000,11279,0.22558,0.07519333333,heterogeneous
0.0,0.00206913808111479,11,3,50000,2,4e-05,1.333333333e-05,heterogeneous
0.006,0.00206913808111479,11,3,50000,668,0.01336,0.004453333333,heterogeneous
0.009,0.00206913808111479,11,3,50000,3180,0.0636,0.0212,heterogeneous
0.011,0.00206913808111479,11,3,50000,4627,0.09254,0.03084666667,heterogeneous
0.015,0.00206913808111479,11,3,50000,12922,0.25844,0.08614666667,heterogeneous
0.0,0.00263665089873036,11,3,50000,30,0.0006,0.0002,heterogeneous
0.006,0.00263665089873036,11,3,50000,830,0.0166,0.005533333333,heterogeneous
0.009,0.00263665089873036,11,3,50000,3147,0.06294,0.02098,heterogeneous
0.011,0.00263665089873036,11,3,50000,7545,0.1509,0.0503,heterogeneous
0.015,0.00263665089873036,11,3,50000,11618,0.23236,0.07745333333,heterogeneous
0.0,0.00335981828628378,11,3,50000,93,0.00186,0.00062,heterogeneous
0.006,0.00335981828628378,11,3,50000,1150,0.023,0.007666666667,heterogeneous
0.009,0.00335981828628378,11,3,50000,4388,0.08776,0.02925333333,heterogeneous
0.011,0.00335981828628378,11,3,50000,8174,0.16348,0.05449333333,heterogeneous
0.015,0.00335981828628378,11,3,50000,13143,0.26286,0.08762,heterogeneous
0.0,0.0042813323987194,11,3,50000,311,0.00622,0.002073333333,heterogeneous
0.006,0.0042813323987194,11,3,50000,1507,0.03014,0.01004666667,heterogeneous
0.009,0.0042813323987194,11,3,50000,3470,0.0694,0.02313333333,heterogeneous
0.011,0.0042813323987194,11,3,50000,7995,0.1599,0.0533,heterogeneous
0.015,0.0042813323987194,11,3,50000,13785,0.2757,0.0919,heterogeneous
0.0,0.00545559478116852,11,3,50000,1044,0.02088,0.00696,heterogeneous
0.006,0.00545559478116852,11,3,50000,2024,0.04048,0.01349333333,heterogeneous
0.009,0.00545559478116852,11,3,50000,6635,0.1327,0.04423333333,heterogeneous
