distance,line,BAD
5,0.0,0.002781
5,0.01,0.002808
5,0.3,0.002835
5,0.6,0.002882
5,0.9,0.002833
7,0.0,0.003821
7,0.01,0.003769
7,0.3,0.003983
7,0.6,0.004064
7,0.9,0.003943
9,0.0,0.004516
9,0.01,0.004508
9,0.3,0.004659
9,0.6,0.004652
9,0.9,0.004841
11,0.0,0.005113
11,0.01,0.00509
11,0.3,0.005226
11,0.6,0.00537
11,0.9,0.005261
13,0.0,0.005541
13,0.01,0.005538
13,0.3,0.005531
13,0.6,0.005844
13,0.9,0.005693
15,0.0,0.005785
15,0.01,0.005771
15,0.3,0.005878
15,0.6,0.006062
15,0.9,0.006333
17,0.0,0.006062
17,0.01,0.006066
17,0.3,0.006144
17,0.6,0.006394
17,0.9,0.006391
