p_sigma,p_mu,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.006,0.00127427498570313,0.5,"(6, 6)",center data,11,3,50000,527,0.01054,0.003513333333,heterogeneous-defect
0.006,0.00162377673918872,0.0,"(6, 6)",center data,11,3,50000,903,0.01806,0.00602,heterogeneous-defect
0.006,0.00127427498570313,0.25,"(6, 6)",center data,11,3,50000,826,0.01652,0.005506666667,heterogeneous-defect
0.006,0.001,0.0,"(6, 6)",center data,11,3,50000,443,0.00886,0.002953333333,heterogeneous-defect
0.006,0.00127427498570313,0.0,"(6, 6)",center data,11,3,50000,554,0.01108,0.003693333333,heterogeneous-defect
0.006,0.00127427498570313,0.05,"(6, 6)",center data,11,3,50000,609,0.01218,0.00406,heterogeneous-defect
0.006,0.001,0.25,"(6, 6)",center data,11,3,50000,827,0.01654,0.005513333333,heterogeneous-defect
0.006,0.001,0.75,"(6, 6)",center data,11,3,50000,663,0.01326,0.00442,heterogeneous-defect
0.006,0.00127427498570313,0.75,"(6, 6)",center data,11,3,50000,943,0.01886,0.006286666667,heterogeneous-defect
0.006,0.001,0.05,"(6, 6)",center data,11,3,50000,621,0.01242,0.00414,heterogeneous-defect
0.006,0.00162377673918872,0.05,"(6, 6)",center data,11,3,50000,924,0.01848,0.00616,heterogeneous-defect
0.006,0.001,0.5,"(6, 6)",center data,11,3,50000,703,0.01406,0.004686666667,heterogeneous-defect
0.006,0.00162377673918872,0.25,"(6, 6)",center data,11,3,50000,781,0.01562,0.005206666667,heterogeneous-defect
0.006,0.00162377673918872,0.5,"(6, 6)",center data,11,3,50000,679,0.01358,0.004526666667,heterogeneous-defect
0.006,0.00206913808111479,0.0,"(6, 6)",center data,11,3,50000,661,0.01322,0.004406666667,heterogeneous-defect
0.006,0.00162377673918872,0.75,"(6, 6)",center data,11,3,50000,1270,0.0254,0.008466666667,heterogeneous-defect
0.006,0.00206913808111479,0.05,"(6, 6)",center data,11,3,50000,1013,0.02026,0.006753333333,heterogeneous-defect
0.006,0.00206913808111479,0.25,"(6, 6)",center data,11,3,50000,837,0.01674,0.00558,heterogeneous-defect
0.006,0.00206913808111479,0.5,"(6, 6)",center data,11,3,50000,1074,0.02148,0.00716,heterogeneous-defect
0.006,0.00206913808111479,0.75,"(6, 6)",center data,11,3,50000,1230,0.0246,0.0082,heterogeneous-defect
0.006,0.00263665089873036,0.0,"(6, 6)",center data,11,3,50000,1240,0.0248,0.008266666667,heterogeneous-defect
0.006,0.00263665089873036,0.25,"(6, 6)",center data,11,3,50000,698,0.01396,0.004653333333,heterogeneous-defect
0.006,0.00263665089873036,0.05,"(6, 6)",center data,11,3,50000,942,0.01884,0.00628,heterogeneous-defect
