p_sigma,p_mu,p_sig_scalar,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,mu_out,sigma_out,ler_round,noise_model
0.00863069932972596,0.0143844988828766,0.6,0.0,"(2, 2)",center data,3,3,50000,20723,0.41446,0.018020194117647062,0.007580645351269911,0.1381533333,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.0,"(2, 2)",center data,3,3,50000,8860,0.1772,0.007346252941176471,0.0035316689689183444,0.05906666667,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.0,"(2, 2)",center data,3,3,50000,4066,0.08132,0.00229364,0.001340746534501011,0.02710666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.0,"(2, 2)",center data,3,3,50000,16081,0.32162,0.012359658823529412,0.0059074849120375715,0.1072066667,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.0,"(2, 2)",center data,3,3,50000,3345,0.0669,0.0017040452941176469,0.000747937103010813,0.0223,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.0,"(2, 2)",center data,3,3,50000,2804,0.05608,0.002345564705882353,0.0011051402652211839,0.01869333333,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.0,"(2, 2)",center data,3,3,50000,1111,0.02222,0.001038349411764706,0.0005815131305732191,0.007406666667,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.0,"(2, 2)",center data,3,3,50000,2909,0.05818,0.0015559876470588236,0.0008271124494538348,0.01939333333,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.0,"(2, 2)",center data,3,3,50000,10953,0.21906,0.00991250705882353,0.0059108613464365104,0.07302,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.0,"(2, 2)",center data,3,3,50000,3939,0.07878,0.0037210405882352944,0.0017126480410737555,0.02626,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.0,"(2, 2)",center data,3,3,50000,4814,0.09628,0.0048215164705882356,0.0017681331945733753,0.03209333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.0,"(2, 2)",center data,3,3,50000,9931,0.19862,0.0075452117647058815,0.004105903923101945,0.06620666667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.0,"(2, 2)",center data,3,3,50000,21846,0.43692,0.020215341176470586,0.012069564162902575,0.14564,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.0,"(2, 2)",center data,3,3,50000,22138,0.44276,0.021550482352941176,0.014247276464860193,0.1475866667,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.0,"(2, 2)",center data,3,3,50000,24636,0.49272,0.037479470588235295,0.015668220099062446,0.16424,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.0,"(2, 2)",center data,3,3,50000,24543,0.49086,0.04807152941176471,0.024175024489598025,0.16362,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.0,"(2, 2)",center data,3,3,50000,24627,0.49254,0.04103618823529411,0.017462674737578142,0.16418,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.0,"(2, 2)",center data,3,3,50000,24883,0.49766,0.06167283529411764,0.037810495175871955,0.1658866667,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.0,"(2, 2)",center data,3,3,50000,24880,0.4976,0.07581935294117648,0.037438350238509645,0.1658666667,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.0,"(2, 2)",center data,3,3,50000,24957,0.49914,0.11693111764705882,0.05079592127313136,0.16638,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.05,"(2, 2)",center data,3,3,50000,2023,0.04046,0.0011381685625,0.0006324548455243632,0.01348666667,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.05,"(2, 2)",center data,3,3,50000,2726,0.05452,0.001487848125,0.0006835103814429115,0.01817333333,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.05,"(2, 2)",center data,3,3,50000,4256,0.08512,0.0021699181249999998,0.0012445082556185535,0.02837333333,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.05,"(2, 2)",center data,3,3,50000,3774,0.07548,0.00235518125,0.0008045333734677746,0.02516,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.05,"(2, 2)",center data,3,3,50000,5246,0.10492,0.00250044375,0.0013320385621664404,0.03497333333,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.05,"(2, 2)",center data,3,3,50000,5284,0.10568,0.00350936875,0.0017754201294055548,0.03522666667,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.05,"(2, 2)",center data,3,3,50000,8507,0.17014,0.00548335,0.0020434272827776377,0.05671333333,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.05,"(2, 2)",center data,3,3,50000,8820,0.1764,0.006417764374999999,0.0026796704812648343,0.0588,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.05,"(2, 2)",center data,3,3,50000,11874,0.23748,0.0073830562500000006,0.004016752523178511,0.07916,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.05,"(2, 2)",center data,3,3,50000,13609,0.27218,0.0091444375,0.0046673923302893395,0.09072666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.05,"(2, 2)",center data,3,3,50000,15130,0.3026,0.012705768749999999,0.004011751348338832,0.1008666667,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.05,"(2, 2)",center data,3,3,50000,16969,0.33938,0.014651168749999999,0.006921554750534626,0.1131266667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.05,"(2, 2)",center data,3,3,50000,19103,0.38206,0.0170098125,0.008637368881123103,0.1273533333,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.05,"(2, 2)",center data,3,3,50000,22541,0.45082,0.0264568125,0.011134771361700416,0.1502733333,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.05,"(2, 2)",center data,3,3,50000,24094,0.48188,0.030354043750000004,0.0133990657908009,0.1606266667,heterogeneous-defect-sig-scalar
0.0227561411443935,0.0379269019073225,0.6,0.05,"(2, 2)",center data,3,3,50000,24342,0.48684,0.04206269,0.025125421046014333,0.16228,heterogeneous-defect-sig-scalar
0.03695089266396156,0.0615848211066026,0.6,0.05,"(2, 2)",center data,3,3,50000,24778,0.49556,0.05373769125,0.032289932249501524,0.1651866667,heterogeneous-defect-sig-scalar
0.028997581431430497,0.0483293023857175,0.6,0.05,"(2, 2)",center data,3,3,50000,24702,0.49404,0.049980712499999996,0.021510547317300968,0.16468,heterogeneous-defect-sig-scalar
0.04708559822108766,0.0784759970351461,0.6,0.05,"(2, 2)",center data,3,3,50000,24994,0.49988,0.07541049999999999,0.04425335791060098,0.1666266667,heterogeneous-defect-sig-scalar
0.06,0.1,0.6,0.05,"(2, 2)",center data,3,3,50000,25023,0.50046,0.089874853125,0.04398350924467128,0.16682,heterogeneous-defect-sig-scalar
0.0006,0.001,0.6,0.25,"(2, 2)",center data,3,3,50000,963,0.01926,0.00106201929375,0.00057836587917488,0.00642,heterogeneous-defect-sig-scalar
0.000764564991421878,0.00127427498570313,0.6,0.25,"(2, 2)",center data,3,3,50000,1790,0.0358,0.0012242625,0.0007960636796960718,0.01193333333,heterogeneous-defect-sig-scalar
0.000974266043513232,0.00162377673918872,0.6,0.25,"(2, 2)",center data,3,3,50000,3300,0.066,0.001883376875,0.0009090791958949366,0.022,heterogeneous-defect-sig-scalar
0.001241482848668874,0.00206913808111479,0.6,0.25,"(2, 2)",center data,3,3,50000,6028,0.12056,0.00275061,0.001265019856326374,0.04018666667,heterogeneous-defect-sig-scalar
0.001581990539238216,0.00263665089873036,0.6,0.25,"(2, 2)",center data,3,3,50000,5609,0.11218,0.003294625,0.0015284701017275412,0.03739333333,heterogeneous-defect-sig-scalar
0.00256879943923164,0.0042813323987194,0.6,0.25,"(2, 2)",center data,3,3,50000,3642,0.07284,0.0035621299999999997,0.0020069238277772277,0.02428,heterogeneous-defect-sig-scalar
0.002015890971770268,0.00335981828628378,0.6,0.25,"(2, 2)",center data,3,3,50000,5169,0.10338,0.003218503125,0.0019372369508907485,0.03446,heterogeneous-defect-sig-scalar
0.0032733568687011117,0.00545559478116852,0.6,0.25,"(2, 2)",center data,3,3,50000,7550,0.151,0.00542660625,0.002517542794936352,0.05033333333,heterogeneous-defect-sig-scalar
0.00417115677706536,0.0069519279617756,0.6,0.25,"(2, 2)",center data,3,3,50000,14899,0.29798,0.009355925000000001,0.00407877676079177,0.09932666667,heterogeneous-defect-sig-scalar
0.0053152007424604915,0.00885866790410082,0.6,0.25,"(2, 2)",center data,3,3,50000,12277,0.24554,0.01031545625,0.004380790413551068,0.08184666667,heterogeneous-defect-sig-scalar
0.0067730273501081404,0.0112883789168469,0.6,0.25,"(2, 2)",center data,3,3,50000,18834,0.37668,0.01259131875,0.0055668637449890436,0.12556,heterogeneous-defect-sig-scalar
0.00863069932972596,0.0143844988828766,0.6,0.25,"(2, 2)",center data,3,3,50000,16711,0.33422,0.0118469575,0.006231432296899626,0.1114066667,heterogeneous-defect-sig-scalar
0.01099788426499464,0.0183298071083244,0.6,0.25,"(2, 2)",center data,3,3,50000,21758,0.43516,0.018248675,0.009229390409684434,0.1450533333,heterogeneous-defect-sig-scalar
0.014014328814540719,0.0233572146909012,0.6,0.25,"(2, 2)",center data,3,3,50000,21542,0.43084,0.02239974375,0.010566040677801735,0.1436133333,heterogeneous-defect-sig-scalar
0.01785810864978792,0.0297635144163132,0.6,0.25,"(2, 2)",center data,3,3,50000,23193,0.46386,0.027666781249999998,0.018813703875440728,0.15462,heterogeneous-defect-sig-scalar
